peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
76.1,1.59,M,25,0,0,0,14,3,2,N,1,0,0
43.8,1.56,M,44,180,0,0,15,7,0,N,2,1,2
44.94,1.58,M,34,40,0,6,5,0,0,N,1,2,2
60.12,1.68,M,30,30,0,0,0,0,0,N,2,3,4
78.02,1.61,M,18,0,13,2,10,2,0,N,1,2,3
88.16,1.72,V,40,0,12,0,0,0,0,N,2,4,4
80.79,1.78,V,24,0,9,0,0,0,0,N,0,0,0
49,1.65,M,20,70,4,0,2,0,0,N,1,3,3
72.32,1.61,M,44,0,0,0,0,0,0,N,2,3,3
91.38,1.76,V,57,0,4,3,8,10,0,S,2,4,3
79.52,1.62,M,29,0,1,0,17,5,0,N,2,3,3
94.54,1.69,M,32,0,0,2,21,10,0,N,2,3,2
44.94,1.58,M,56,100,0,8,0,5,0,N,1,2,3
85.54,1.7,V,27,0,0,0,1,8,0,N,2,3,3
49.43,1.58,M,33,30,20,4,5,7,0,N,2,4,4
56.89,1.67,M,46,30,2,4,0,8,1,N,2,2,1
82.22,1.65,M,24,0,0,0,12,8,0,N,2,3,4
60.94,1.84,V,18,70,0,5,0,0,0,N,0,1,3
85.54,1.7,M,46,0,7,6,0,0,0,N,2,3,2
45.51,1.59,M,46,50,14,2,8,9,0,N,3,3,4
55.76,1.76,V,56,60,0,0,0,0,0,N,0,1,2
60.62,1.82,V,45,30,12,2,0,1,0,N,1,1,1
83.8,1.73,V,43,0,0,0,1,0,0,N,1,2,2
77.71,1.66,M,53,0,9,3,0,0,0,N,1,1,3
49.6,1.66,M,42,140,6,1,0,4,0,N,0,1,2
86.68,1.72,V,25,0,0,0,0,0,0,N,0,0,0
84.8,1.71,V,27,0,0,1,19,13,1,N,0,2,0
50.8,1.68,M,38,140,0,1,14,13,0,N,2,4,4
56.39,1.77,V,42,90,16,5,0,0,5,N,1,1,2
76.9,1.56,M,24,0,0,5,0,0,0,N,1,2,4
80.15,1.64,M,38,0,1,5,17,18,NA,N,0,0,2
73.75,1.62,M,40,0,4,1,3,1,0,N,0,2,2
79.07,1.64,M,50,0,1,0,18,17,0,N,1,0,0
56.39,1.77,V,20,70,0,4,0,5,6,N,0,0,0
86.82,1.81,V,65,0,7,0,0,0,0,N,2,4,3
76.5,1.65,M,37,0,0,0,0,3,0,N,1,2,2
60.4,1.76,M,61,30,10,1,0,0,0,N,2,4,4
53.87,1.73,V,33,70,0,6,0,4,0,N,0,1,0
81.84,1.66,M,51,0,12,1,19,10,0,N,3,4,4
93.15,1.78,V,52,0,2,0,0,0,1,N,1,3,2
67.58,1.6,M,44,0,13,4,0,7,0,N,1,0,1
116.93,1.86,V,33,0,0,0,20,10,0,N,2,4,4
60.83,1.78,V,29,40,0,2,0,0,0,S,2,3,3
71.65,1.58,M,52,0,4,5,5,9,0,N,1,3,4
84.56,1.8,V,59,0,6,3,0,6,0,N,1,2,1
83.54,1.68,M,42,0,5,1,0,1,0,N,1,1,1
80.88,1.67,M,45,0,0,0,11,4,0,N,1,2,1
89.91,1.77,V,48,0,0,4,6,2,0,S,0,1,0
106.06,1.79,V,55,0,0,2,9,9,0,N,4,4,4
45.51,1.59,M,50,160,0,0,0,1,0,N,1,2,1
92.18,1.75,V,37,0,4,0,19,6,2,N,0,1,0
80.76,1.72,M,50,0,0,6,0,0,6,N,0,0,0
52.02,1.7,V,34,70,0,0,0,0,0,N,0,1,0
78.88,1.57,M,18,0,0,0,6,1,0,N,1,1,2
88.41,1.74,V,55,0,7,5,0,10,0,N,2,3,4
79.53,1.78,V,55,0,0,0,0,4,5,N,0,1,1
87.57,1.72,V,49,0,7,0,17,17,0,N,2,2,1
98.37,1.79,V,59,0,4,2,4,4,0,N,1,2,3
73.22,1.6,M,18,0,3,0,1,0,0,N,1,3,3
54.5,1.74,V,36,80,6,2,0,0,7,N,0,2,2
79.4,1.69,V,56,0,0,0,2,2,0,N,2,3,2
50.8,1.68,M,41,130,9,0,1,4,0,N,1,1,2
85.68,1.74,M,41,0,10,0,0,0,0,N,2,4,3
83.61,1.75,V,30,0,0,2,0,5,1,N,2,4,4
90.93,1.78,V,41,0,9,0,9,3,0,N,1,0,0
81.16,1.67,M,55,0,14,2,21,14,0,N,2,4,4
80.44,1.68,M,51,0,0,0,0,0,0,N,2,1,1
93.78,1.78,V,39,0,0,0,10,5,0,N,1,3,3
59.62,1.82,V,18,40,9,0,0,0,3,N,2,4,3
80.92,1.7,V,29,0,0,0,9,9,0,N,0,2,3
83.16,1.63,M,33,0,0,0,22,12,0,N,2,4,4
67.12,1.69,M,32,20,2,0,0,7,0,N,2,1,0
58.97,1.66,M,35,20,3,2,10,4,6,N,0,1,2
73.91,1.67,M,30,0,18,1,0,0,0,N,2,4,4
78.81,1.66,M,69,0,5,1,0,2,0,N,3,2,1
95.07,1.82,V,72,0,2,0,4,0,0,N,1,2,2
73.82,1.78,V,34,20,2,3,0,0,0,N,0,0,0
90.96,1.75,V,37,0,0,3,0,1,0,N,1,3,4
83.95,1.67,M,29,0,0,4,14,17,0,N,2,4,4
76.39,1.58,M,36,0,0,0,12,5,0,N,0,2,4
78.14,1.58,M,39,0,0,0,6,5,0,N,2,1,1
81.01,1.66,V,31,0,0,2,4,0,7,N,1,3,3
90.62,1.78,V,49,0,3,4,0,5,3,N,2,3,2
90.6,1.68,M,26,0,8,0,17,1,0,N,1,3,3
96.18,1.77,V,50,0,0,1,10,0,0,N,1,2,0
55.12,1.75,M,63,40,0,0,4,14,0,N,0,0,0
84.25,1.76,V,30,0,7,6,2,4,0,N,2,1,0
59.24,1.7,V,32,30,1,3,0,2,0,S,2,4,4
52.63,1.71,V,43,150,0,5,15,8,4,N,1,1,2
73.75,1.62,M,29,0,5,3,0,0,0,N,0,1,2
53.87,1.73,V,41,50,21,4,0,4,0,N,3,4,2
83.87,1.81,V,46,10,7,2,0,9,0,N,3,4,4
57.67,1.79,V,34,70,5,3,0,0,0,N,0,1,2
92.77,1.7,V,23,0,0,7,0,0,0,N,2,3,3
90.07,1.8,V,39,0,15,1,10,8,0,N,3,4,4
52.18,1.64,M,32,50,0,0,18,12,0,N,3,4,4
87.4,1.69,V,25,0,6,0,3,2,0,N,3,2,3
94.79,1.7,M,79,0,0,3,12,3,0,N,4,4,4
51.27,1.57,M,27,30,0,3,3,2,0,N,0,2,2
74.95,1.66,M,59,0,8,3,0,4,0,N,0,2,2
95.83,1.85,V,31,0,8,0,4,5,0,N,2,3,2
55.76,1.76,V,45,100,0,3,0,0,0,N,0,1,2
96.12,1.79,V,55,0,0,0,19,17,0,N,1,1,1
82.71,1.77,V,61,0,14,0,0,0,4,N,1,3,3
59.62,1.82,V,42,70,3,2,0,0,0,N,1,2,2
95.77,1.73,V,29,0,3,3,18,6,0,N,1,1,2
79.91,1.66,M,32,0,0,0,13,8,0,N,1,3,4
85.8,1.68,M,38,0,4,4,0,1,0,N,2,2,3
99.27,1.81,V,30,0,6,1,22,16,1,N,1,2,2
62.98,1.6,M,29,0,18,2,0,9,0,N,1,3,4
84.22,1.63,M,18,0,0,7,0,0,0,N,2,3,2
91.17,1.77,V,57,0,0,6,0,0,0,N,1,3,3
51.41,1.69,M,53,90,0,2,18,6,0,N,3,4,4
82.03,1.64,V,46,0,0,0,9,0,6,N,2,3,2
73.57,1.59,M,21,0,12,5,0,0,0,N,0,1,0
84.99,1.6,M,67,0,0,0,27,5,1,N,1,2,3
52.63,1.71,M,56,50,4,1,4,2,2,N,3,4,4
94.4,1.82,V,49,0,10,5,6,2,5,N,1,3,3
84.7,1.73,V,45,0,0,0,15,6,0,N,0,3,2
81,1.68,M,18,0,0,0,0,0,0,N,1,4,4
79.58,1.72,V,53,0,0,5,13,16,1,N,0,1,0
78.14,1.65,M,46,0,0,0,10,0,0,N,0,3,3
75.92,1.68,M,36,0,7,0,6,9,0,N,1,0,0
47.24,1.62,M,46,150,0,0,8,8,0,N,0,3,4
87.27,1.72,V,28,0,5,4,5,2,0,N,1,2,2
57.67,1.79,V,54,40,8,3,0,0,1,N,2,3,3
92.73,1.77,V,62,0,4,3,9,12,2,S,2,2,3
68.28,1.63,M,58,0,14,1,0,0,0,N,2,2,1
71.12,1.67,V,25,0,9,0,0,4,1,N,0,0,1
54.5,1.74,V,29,80,0,5,0,0,5,N,0,0,1
96.77,1.67,M,25,0,0,0,25,11,0,N,3,4,4
77.43,1.66,M,51,0,0,0,0,0,0,N,1,3,2
100.12,1.78,V,45,0,0,0,28,7,0,N,0,0,1
77.31,1.6,M,32,0,0,4,0,2,0,N,2,3,2
92.79,1.75,V,43,0,0,3,0,0,0,N,2,3,3
88.25,1.69,M,37,0,0,1,2,0,3,N,2,3,4
81.3,1.63,M,18,0,0,0,3,3,0,N,2,3,3
57.03,1.78,V,48,160,0,0,0,0,0,N,3,4,4
87.97,1.76,M,52,0,8,0,14,7,0,N,0,1,2
86.98,1.72,V,35,0,0,0,9,1,0,N,0,1,1
95.33,1.71,M,43,0,1,0,15,1,0,N,2,4,4
79.61,1.76,V,43,0,13,0,4,4,0,N,0,3,4
73.57,1.59,M,47,0,5,4,0,0,0,N,3,4,4
103.36,1.8,V,24,0,2,0,17,5,0,N,1,2,2
84.87,1.66,M,55,0,0,0,26,20,0,N,1,1,1
55.12,1.75,V,56,130,19,0,0,3,0,N,0,0,0
55.12,1.75,V,22,50,5,2,0,0,0,N,0,1,1
95.55,1.77,V,44,0,0,6,8,0,0,N,1,4,3
91.79,1.77,V,50,0,0,0,11,7,0,N,1,2,0
79.47,1.7,M,36,10,0,0,19,12,0,N,2,3,3
77.31,1.78,M,61,0,24,4,7,18,0,N,1,2,3
85.14,1.75,V,44,0,0,2,3,0,0,N,1,2,2
84.7,1.73,V,20,0,4,0,2,0,2,N,1,1,2
87.35,1.76,V,59,0,7,7,0,0,0,N,0,1,3
89.19,1.71,V,45,0,0,4,3,1,0,N,3,3,3
77.42,1.62,M,24,0,0,1,6,4,0,N,2,4,4
101.09,1.8,V,26,0,0,5,0,0,0,N,1,2,2
91.43,1.74,M,21,0,0,0,15,7,0,N,0,1,1
102.36,1.73,V,19,0,2,4,4,1,0,S,2,2,3
70.07,1.62,M,32,0,9,0,0,0,0,S,0,3,3
49,1.65,M,35,160,0,0,0,4,0,N,1,3,4
60.62,1.82,V,30,40,0,3,6,12,0,N,0,0,1
83.97,1.69,V,46,0,3,0,20,17,0,N,0,1,2
53.87,1.73,V,63,50,4,4,6,1,0,N,2,3,2
101.23,1.81,V,18,0,0,2,11,2,0,N,0,0,0
70.86,1.62,M,35,0,10,3,10,13,0,N,0,0,0
77.32,1.65,V,39,0,0,0,0,0,0,N,1,2,1
94.1,1.78,V,41,0,9,6,7,6,0,N,1,2,3
81.71,1.73,V,63,0,4,1,0,7,0,N,1,1,1
53.87,1.73,M,38,50,0,1,5,0,0,N,2,2,3
66.92,1.56,M,69,0,4,0,0,0,0,N,1,2,2
44.37,1.57,M,55,30,17,0,0,9,0,N,2,4,4
49,1.65,M,18,80,8,1,0,2,0,N,0,0,2
74.72,1.75,V,58,0,4,0,0,13,0,N,2,3,2
81.11,1.69,V,41,0,0,0,0,0,0,N,0,2,1
57.67,1.79,V,28,110,0,6,0,0,0,N,1,3,2
90.76,1.76,V,60,0,17,6,0,0,0,N,1,3,3
97.39,1.75,M,51,0,3,0,7,0,0,N,3,4,4
49,1.65,M,46,110,2,5,0,0,0,N,2,3,4
87.69,1.73,M,36,0,0,0,0,4,0,N,2,4,4
68.76,1.59,M,30,10,6,1,7,0,0,N,1,0,0
78.11,1.63,V,72,0,4,4,9,0,0,N,1,2,3
100.67,1.76,V,35,0,0,1,0,0,2,N,3,4,4
83.72,1.72,V,58,0,6,2,8,6,0,N,1,2,3
97.9,1.78,V,50,0,0,2,12,6,0,N,2,3,3
75.58,1.64,M,54,0,0,0,10,7,1,N,0,2,2
95.72,1.76,V,50,0,0,5,4,1,0,N,0,2,2
50.8,1.68,M,47,50,4,6,1,1,0,N,3,4,2
73.06,1.63,M,34,0,0,1,0,1,0,N,1,2,2
84.7,1.73,V,50,0,9,0,15,12,6,N,1,1,0
91.96,1.79,V,62,0,6,0,13,4,0,N,1,2,3
90.32,1.68,M,44,0,5,2,2,5,0,N,4,4,4
84.1,1.73,V,48,0,0,0,0,1,0,N,1,2,2
91.45,1.68,M,23,0,2,3,0,0,0,N,4,4,4
57.56,1.64,M,70,30,0,0,2,0,0,N,1,1,0
72,1.63,M,39,0,5,2,2,6,0,N,0,1,1
91.52,1.71,V,28,0,8,0,31,11,0,N,1,2,1
97.75,1.77,V,35,0,4,5,17,7,0,N,0,0,1
58.32,1.8,V,44,110,0,1,2,1,0,N,2,4,4
78.62,1.59,M,24,0,14,0,15,3,0,N,3,3,4
64.09,1.57,M,71,0,16,8,3,0,0,N,1,2,2
74.53,1.62,M,59,0,0,2,2,1,2,N,1,2,1
77.81,1.67,M,41,0,11,0,20,16,0,N,0,1,2
82.71,1.77,V,66,0,12,3,9,3,0,N,0,1,2
100.52,1.74,V,56,0,3,0,25,13,0,N,1,2,4
87.35,1.66,M,28,0,0,0,13,1,0,N,0,1,0
101.12,1.74,V,48,0,0,2,7,0,0,N,3,3,4
84.77,1.74,V,42,0,3,2,0,0,0,N,0,0,0
52.63,1.71,M,48,40,0,0,2,0,0,N,0,1,1
84.68,1.7,M,46,0,0,0,0,0,0,N,1,1,0
82.12,1.66,M,33,0,0,1,0,0,0,N,2,4,4
50.2,1.67,M,18,60,4,0,4,3,0,S,0,2,3
102.38,1.8,V,30,0,0,0,15,8,0,N,2,2,1
49.6,1.66,M,19,50,10,1,4,0,0,S,1,2,2
50.2,1.67,M,25,60,1,0,11,4,0,N,2,3,3
56.8,1.72,V,73,40,0,3,20,13,0,N,1,1,3
57.31,1.76,V,63,40,0,1,16,14,0,N,1,1,0
67.5,1.59,M,56,0,10,3,2,0,1,N,0,1,1
89.83,1.76,V,18,0,0,0,7,10,0,N,1,3,3
92.42,1.77,V,53,0,0,0,10,3,0,N,1,2,0
58.43,1.74,V,37,30,23,3,2,0,2,N,3,4,3
84.83,1.69,V,45,0,1,5,0,2,0,N,1,2,3
78.21,1.62,M,37,0,0,3,8,0,0,N,0,1,0
53.63,1.68,V,48,30,18,4,0,0,0,N,1,1,0
81.97,1.69,V,47,0,0,0,9,7,3,N,0,0,0
58.92,1.52,M,45,0,0,0,0,0,0,N,0,2,1
77.4,1.57,M,59,0,1,0,0,1,0,N,1,2,3
105,1.82,V,18,0,0,3,4,0,0,N,1,1,0
52.02,1.7,V,48,40,6,0,8,5,0,N,0,2,1
91.88,1.78,V,49,0,2,0,2,0,0,S,2,2,2
63.59,1.57,M,56,0,10,6,0,0,0,N,0,0,0
93.68,1.73,M,57,0,5,1,14,0,0,N,2,4,3
74.42,1.75,V,38,10,1,1,0,5,0,N,1,3,2
77.32,1.63,M,42,0,0,5,0,0,0,N,1,4,4
80.81,1.73,M,75,0,0,0,0,6,0,N,0,2,3
57.69,1.72,V,28,40,0,2,0,5,0,N,0,1,2
78,1.64,M,25,0,1,4,0,0,2,N,0,1,1
91.07,1.76,M,36,0,0,4,0,1,0,N,1,2,2
92.89,1.72,M,38,0,4,1,13,9,0,N,2,3,4
62.55,1.66,M,34,30,0,5,0,0,NA,N,2,3,3
93.55,1.74,V,35,0,0,4,2,0,0,N,2,4,2
77.16,1.7,V,41,0,9,5,0,0,3,N,1,0,1
84.25,1.69,M,32,0,7,0,13,7,0,N,1,0,0
83.91,1.75,V,39,10,16,0,23,7,0,N,1,3,4
82.71,1.76,V,58,20,0,4,14,10,0,N,1,3,3
84.72,1.64,M,48,0,0,2,15,9,0,N,2,4,4
78.47,1.62,M,39,0,8,4,0,0,0,N,1,3,3
53.87,1.73,V,54,30,0,4,0,10,0,N,0,1,0
61.94,1.62,M,29,0,15,5,15,13,0,N,0,2,0
53.25,1.72,V,36,50,0,0,16,17,0,N,3,4,4
62.44,1.59,M,59,0,0,0,9,23,0,N,1,3,3
82.83,1.67,V,26,0,0,1,2,1,6,N,3,3,2
91.32,1.7,M,31,0,0,2,22,14,0,N,0,1,1
78,1.64,M,33,0,0,5,0,0,0,N,1,1,0
61.86,1.64,M,22,20,0,2,3,0,0,N,1,4,3
58.97,1.81,V,18,40,21,0,12,1,3,N,1,3,4
102.36,1.73,V,34,0,0,3,9,0,0,N,3,2,2
88.45,1.66,M,52,0,0,0,1,0,0,N,2,4,4
79.36,1.66,M,56,0,0,8,0,0,0,N,0,2,2
82.08,1.77,V,63,0,18,2,0,1,0,N,1,0,0
93.08,1.73,V,22,0,0,0,9,0,0,N,1,2,2
82.67,1.62,M,40,0,0,0,8,2,0,N,2,2,2
47.24,1.62,M,56,90,0,0,2,0,NA,N,3,4,4
95.1,1.76,V,22,0,0,1,0,0,0,N,1,1,0
96.65,1.76,V,42,0,0,2,7,0,0,N,2,4,3
83.49,1.66,M,55,0,0,0,4,7,0,N,2,3,3
93.55,1.76,V,46,0,0,3,4,6,0,N,3,4,4
57.44,1.65,M,48,10,22,3,0,0,0,N,0,2,2
80.83,1.62,M,44,0,0,7,4,0,0,N,1,2,2
85.79,1.72,V,30,0,0,0,0,1,0,N,0,0,0
53.25,1.72,V,55,40,19,3,1,0,0,N,1,1,1
89.75,1.68,M,20,0,0,4,0,0,0,N,2,3,2
69.69,1.69,M,45,10,8,3,0,0,0,N,2,3,2
43.25,1.55,M,23,120,22,2,0,0,0,N,2,2,2
74.53,1.62,M,51,0,0,0,10,6,0,N,0,0,0
51.41,1.69,M,58,100,0,5,3,0,0,N,1,2,3
55.76,1.76,V,20,60,5,0,7,4,0,N,1,1,1
68.87,1.56,M,46,0,15,0,4,0,0,N,2,3,3
77.05,1.68,M,18,0,10,0,1,1,10,N,2,4,4
80.15,1.64,M,48,0,0,0,0,0,6,N,1,1,0
96.83,1.84,V,40,0,5,2,10,8,0,S,2,3,3
85.8,1.76,V,18,10,0,4,0,0,0,N,0,2,3
74.65,1.61,M,46,0,0,2,17,7,0,N,0,4,4
85.49,1.76,V,38,0,4,0,4,1,7,N,2,3,2
74.03,1.76,V,46,20,0,0,18,16,5,N,1,2,1
76.87,1.7,M,84,0,7,1,0,0,0,S,1,4,3
86.36,1.75,V,30,0,0,4,0,0,0,N,0,2,1
101.09,1.8,V,30,0,0,0,0,6,0,N,4,4,4
88.59,1.76,V,32,0,0,3,0,4,0,N,1,0,1
83.26,1.68,M,28,0,5,2,23,11,0,N,0,0,0
72.58,1.61,M,30,0,9,3,0,0,2,N,1,2,3
85.62,1.67,M,26,0,0,2,0,0,0,N,3,4,4
96.47,1.75,V,43,0,0,3,8,3,0,N,2,3,3
85.62,1.67,M,55,0,0,4,15,1,7,N,1,2,2
72.52,1.56,M,45,0,0,1,5,6,0,N,1,1,2
89.44,1.81,V,59,0,9,0,0,0,3,N,0,1,2
58.32,1.8,V,53,90,4,0,0,0,0,N,1,1,2
100.88,1.72,V,18,0,0,4,12,2,0,N,2,3,4
72.22,1.57,M,34,0,2,2,0,0,0,N,0,0,2
92.49,1.75,V,37,0,0,0,15,7,0,N,1,3,4
81.99,1.67,M,29,0,7,0,0,0,0,N,2,2,2
81.83,1.63,M,18,0,4,2,0,0,0,N,1,2,3
78.32,1.7,V,33,0,6,2,6,12,NA,S,0,2,3
72.69,1.65,M,44,0,10,3,0,1,0,N,0,1,0
56.39,1.77,V,58,120,4,8,2,6,0,N,0,0,0
84.51,1.71,V,18,0,4,5,0,0,1,N,0,0,0
91.48,1.77,V,61,0,0,5,17,8,2,N,0,0,0
58.9,1.77,V,60,30,0,1,0,1,5,N,1,2,2
82.9,1.63,M,43,0,0,0,13,10,0,N,2,1,0
81.84,1.66,M,22,0,0,3,10,12,0,N,3,4,2
59.98,1.64,M,48,0,24,0,0,7,0,N,0,1,1
51.41,1.69,V,29,120,0,0,22,10,0,N,0,1,0
86.47,1.77,M,53,0,8,2,7,4,0,N,1,2,2
53.25,1.72,M,42,100,0,2,6,4,2,N,0,1,2
94.76,1.74,M,18,0,1,4,9,6,0,N,0,0,2
59.62,1.82,V,70,150,0,1,15,7,0,N,3,4,4
116.1,1.87,V,43,0,0,0,11,5,0,N,4,4,4
83.31,1.65,M,18,0,2,2,0,2,0,N,2,4,3
90.42,1.81,V,18,0,0,0,0,8,0,N,1,3,2
53.25,1.72,V,43,50,0,4,6,4,0,N,0,2,2
69.15,1.68,M,27,20,5,0,0,0,0,N,2,3,3
80.53,1.74,V,59,0,21,0,18,14,0,N,1,4,3
79.84,1.78,V,42,0,0,0,0,9,2,N,0,2,3
50.8,1.68,V,20,60,0,0,0,0,0,S,1,0,0
81.84,1.66,M,71,0,0,4,3,15,0,N,1,0,1
56.39,1.77,V,32,90,4,0,19,7,NA,N,1,1,2
80.15,1.64,M,23,0,0,0,3,2,0,N,2,4,3
82.35,1.74,V,42,0,1,0,8,1,0,N,1,1,0
59.62,1.82,V,26,40,15,3,0,0,0,N,0,3,4
92.99,1.71,V,41,0,3,1,7,2,0,S,2,4,4
47.82,1.63,M,30,120,10,3,5,0,0,N,1,1,1
76.99,1.61,M,29,0,0,4,4,2,0,S,1,1,1
78.99,1.62,M,63,0,0,3,0,2,0,N,1,1,2
65.73,1.59,V,38,0,11,0,7,5,0,N,0,2,2
95.69,1.78,V,57,0,0,0,7,0,0,N,1,1,0
88.1,1.74,V,30,0,3,0,0,2,0,N,1,3,3
94.46,1.74,V,19,0,0,1,4,0,0,N,1,2,1
68.14,1.56,M,50,0,5,7,0,5,0,N,2,3,1
84.78,1.67,M,18,0,13,2,4,0,0,N,1,1,2
93.55,1.76,V,53,0,0,7,0,0,0,N,2,2,1
80.16,1.68,M,29,0,0,0,0,1,5,N,1,1,0
93.15,1.78,V,26,0,0,1,6,4,0,N,1,3,4
87.27,1.72,M,40,0,0,0,5,6,0,S,0,1,2
52.63,1.71,M,35,50,0,0,6,7,0,N,1,2,0
101.98,1.75,V,44,0,0,1,19,10,2,N,2,3,2
89.77,1.81,V,18,0,15,5,0,1,2,N,0,0,0
58.32,1.8,V,48,100,0,0,9,5,0,N,3,3,4
60.94,1.84,V,68,50,13,0,3,3,0,N,3,4,4
87.35,1.66,M,36,0,0,7,0,0,0,N,3,4,4
83.33,1.76,V,35,0,0,0,5,4,0,N,0,3,3
90.53,1.74,V,57,0,0,1,0,0,0,N,0,0,0
77.16,1.66,M,53,0,0,0,0,2,0,N,1,2,3
100.7,1.82,V,29,0,0,2,7,0,0,N,2,3,2
72.7,1.6,M,40,0,4,3,0,4,0,N,2,3,2
91.71,1.72,V,43,0,0,0,21,12,1,N,0,1,1
57.67,1.79,V,52,50,0,0,2,7,NA,N,0,0,2
61.61,1.85,V,43,60,0,0,0,0,0,N,1,1,0
90.54,1.69,M,37,0,0,0,19,16,0,N,2,4,3
77.58,1.63,V,59,0,0,5,0,0,0,N,1,2,1
91.03,1.7,M,27,0,0,0,11,9,0,N,2,3,2
90.75,1.7,V,19,0,0,0,10,5,0,S,1,2,3
74.65,1.61,M,53,0,0,0,0,1,0,N,1,2,2
81.36,1.72,V,28,0,11,0,0,0,1,N,0,1,2
72.52,1.56,M,49,0,4,8,0,5,0,N,2,4,4
58.97,1.81,V,33,70,2,0,10,11,0,N,1,1,1
82.9,1.73,V,33,0,8,0,3,0,0,N,1,3,4
79.88,1.64,M,52,0,7,0,10,14,0,N,3,4,4
94.94,1.75,V,35,0,0,2,14,7,0,N,0,1,1
79.64,1.66,M,76,0,0,3,0,0,0,N,1,1,1
78.74,1.68,M,53,0,10,1,0,0,0,N,1,1,1
76.14,1.58,M,27,0,0,4,0,2,0,N,1,3,3
76.35,1.59,M,19,0,5,4,0,0,0,N,1,1,2
87.35,1.66,M,19,0,0,0,6,0,0,N,2,2,1
76.69,1.67,M,62,0,14,5,7,0,0,N,2,4,4
96.81,1.77,V,44,0,0,2,2,2,2,N,2,3,3
85.15,1.66,V,20,0,0,7,0,4,0,N,2,4,3
100.44,1.78,V,47,0,0,0,5,7,0,N,2,1,3
80.92,1.7,M,25,0,10,0,15,15,0,N,2,2,2
79.11,1.69,V,75,0,0,2,0,0,0,N,1,4,3
94.93,1.8,V,62,0,1,1,0,0,0,N,1,0,1
62.91,1.58,M,55,0,8,0,2,6,0,N,0,1,1
66.38,1.71,V,41,20,6,0,8,10,0,N,2,4,4
83.67,1.67,M,18,0,0,4,0,8,1,N,2,4,4
80.72,1.68,M,18,0,0,1,0,1,0,N,0,1,1
94.2,1.79,M,46,0,0,4,0,0,0,N,0,1,0
47.82,1.63,M,42,60,3,2,1,6,0,N,2,4,4
83.96,1.63,M,18,0,0,0,4,0,2,S,2,3,3
88.28,1.76,V,27,0,9,5,0,3,0,N,1,2,2
104.65,1.8,V,54,0,0,6,6,5,0,N,4,4,2
